Department Family,Entity,Date,Expense Type,Expense Area,Supplier,Transaction Number,Amount,Invoice Currency Unit
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580061,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580062,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580062,230898,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580062,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580064,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580064,32,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580064,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580066,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580066,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580066,160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580067,-160,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin External Panel Member payments,Unspecified,74580067,160.122,GBP
BIS,EPSRC,02/01/2015,Fees (Including College Members),Admin Peer Review and Output (excluding external panel member fees),Unspecified,74580067,160,GBP
